Name;Address;Phone;E-Mail;Web Site;Longitude;Latitude;SAP ID;ZNL_5000;ZNL_5410;ZNL_5413
Lammers-Toepoel BV;Castricummer Werf 49 / 1901 RV Castricum / NL;+31 251 65 29 24;info@lammers-toepoel.nl;www.lammers-toepoel.nl;466.393.000.000.000;5.254.016.900.000.000;300045442;1;1;1
Langeland-Borgman bv;Krimweg 34b / 7741 KJ COEVORDEN / NL;+31 524512886;info@langelandborgman.nl;www.langelandborgman.nl;672.913.690.000.000;5.266.080.180.000.000;300057677;1;1;1
Lok Installatietechniek;De Kampen 1 / 8325 DD VOLLENHOVE / NL;+31 527243547;info@lokinstallatietechniek.nl;www.lokinstallatietechniek.nl;596.817.860.000.000;5.268.063.930.000.000;300047402;1;1;1
Loodgieters- & Installatiebedrijf;De Ward 31 / 8701 MB BOLSWARD / NL;+31 515572671;info@reekersbolsward.nl;www.reekersbolsward.nl;551.213.150.000.000;5.306.571.660.000.000;11032192;1;1;1
Loodgieters- en Onderhouds-;Huigsloterdijk 325 / 2157 LP ABBENES / NL;+31 618359931;info@erikafleur.nl;www.eriklafleur.nl;458.312.850.000.000;5.221.959.310.000.000;11033487;1;1;1
Loodgietersbedrijf M. Kramer;Kweekweg 32 / 8161 PG EPE / NL;#;info@kramer-epe.nl;www.kramer-epe.nl;599.493.750.000.000;5.234.539.170.000.000;11138712;1;1;1
Loohuis Hardenberg B.V.;Kruiwiel 9 / 7773 NL HARDENBERG / NL;+31 523625060;hardenberg@loohuisgroep.nl;www.loohuisgroep.nl;659.608.970.000.000;5.257.389.540.000.000;10063348;1;1;1
Loohuis Installatie-;Pastoor Boddestraat 18 / 7666 LB FLERINGEN / NL;+31 546629629;fleringen@loohuisgroep.nl;www.loohuisgroep.nl;680.595.920.000.000;5.238.114.090.000.000;10063048;1;1;1
;Uilenbroekstraat 64 / 8111 BE HEETEN / NL;+31 572388488;heeten@loohuisgroep.nl;www.loohuisgroep.nl;628.561.340.000.000;5.233.058.020.000.000;10063080;1;1;1
Louter Installatietechniek BV;Kabelstraat 3 / 1749 DM WARMENHUIZEN / NL;+31 725093251;info@louterinstallatie.nl;www.louterinstallatie.nl;468.254.120.000.000;5.271.360.620.000.000;10063127;1;1;1
Luijten Installatietechniek B.V.;Verlengde Luijtenstraat 4 / 2941 CH LEKKERKERK / NL;+31 180661020;#;www.luijtenverwarming.nl;469.343.300.000.000;5.190.210.750.000.000;11043382;1;1;1
M&O Techniek;Eenhoornweg 7 / 1531 ME WORMER / NL;+31 756475757;info@mo-techniek.nl;www.mo-techniek.nl;479.827.140.000.000;5.249.759.590.000.000;300047114;1;1;1
Mark Geerts Installatiewerken;Winkelhaak 8 / 5111 PX Baarle-Nassau / NL;+31 135906659;#;https://www.markgeerts.nl/;494.308.000.000.000;5.144.253.000.000.000;11137725;1;1;1
Meddens en Van Ree Installaties;Melkrijder 4 / 3861 SG NYKERK / NL;+31 33 245 84 28;info@installatietechnieknijkerk.nl;www.installatietechnieknijkerk.nl;546.460.890.000.000;5.223.226.270.000.000;11137362;1;1;1
Mensonides Installatie BV;Hermesweg 7 / 8861 VN Harlingen / NL;+31 517412658;#;#;543.615.940.000.000;5.317.716.260.000.000;11045585;1;1;1
Minkels Installatie;Cypresstraat 167 / 5213 EV S HERTOGENBOSCH / NL;+31 6-20056930;info@minkelsinstallatie.nl;www.minkelsinstallatie.nl;532.706.120.000.000;5.169.497.110.000.000;300051095;1;1;
Nooter BV;Simon Stevinweg 9 / 8013 NA ZWOLLE / NL;+31 (38) 453 16 22;info@nooter.nl;www.nooter.nl;612.711.640.000.000;5.248.848.680.000.000;300047206;1;1;1
P. Jansen Installatie Techniek B.V.;Kruisakkers 4 / 4613 BV BERGEN OP ZOOM / NL;+31 164 23 65 27;#;www.pjansen.nl;427.664.190.000.000;5.150.376.690.000.000;300055919;1;1;1
P. de Vries Installatie-;Polluxweg 13 / 8938 AZ LEEUWARDEN / NL;+31 582880222;#;www.pdevries.nl;585.619.790.000.000;5.319.875.870.000.000;11028536;1;1;1
P.C. van der Horst B.V.;Oosterwerf 7 / 1911 JB UITGEEST / NL;+31 251-315650;info@pcvanderhorst.nl;https://www.pcvanderhorst.nl/;471.962.010.000.000;5.253.969.950.000.000;11040855;1;1;1
Pactum Installatietechniek;Hamburgweg 12 / 7418 ES DEVENTER / NL;+31 570624640;info@pactum.nl;www.pactum.nl;620.427.810.000.000;5.224.069.380.000.000;10063529;1;1;1
Piet Butter B.V.;Volume 6 / 1446 WJ PURMEREND / NL;+31 299365135;info@pietbutter.nl;www.pietbutter.nl;507.874.530.000.000;5.250.435.150.000.000;11137783;1;1;1
Pola Zevenaar B.V.;Hengelder 19 / 6902 PA ZEVENAAR / NL;+31 316524351;info@pola.nl;www.pola.nl;610.367.130.000.000;5.192.835.320.000.000;10063168;1;1;1
Poppe Installatietechniek;Hulsterweg 75C / 4587 LG KLOOSTERZANDE / NL;+31 114684848;#;https://poppeinstallatietechniek.nl/;402.283.700.000.000;5.136.210.460.000.000;11034060;;1;
Provato Techniek B.V.;Hongkongstraat 56 / 3047 BS ROTTERDAM / NL;+31 104152007;#;https://www.provatotechniek.nl/;440.527.380.000.000;5.194.254.960.000.000;10063432;1;;
R. Lascaris Installatie B.V.;Oosteinde 86 / 1474 ME OOSTHUIZEN / NL;+31 299403402;r.lascaris@lascarisbv.nl;www.lascarisbv.nl;501.388.820.000.000;5.258.023.460.000.000;300049749;1;1;1
RM ventilatietechniek;J. Keplerweg 8G / 2408 AC ALPHEN AAN DEN RIJN / NL;#;#;www.rmventilatietechniek.nl;464.251.640.000.000;5.212.110.380.000.000;11139675;1;1;1
Reerink bv Inst.bedrijf;Hanzeweg 1-A / 7241 CR LOCHEM / NL;+31 (573) 25 24 25;info@reerink-lochem.nl;www.reerink-lochem.nl;642.053.600.000.000;5.216.374.980.000.000;300056979;1;1;1
Rijkhoff Installatietechniek;Van Roozendaalstraat 3 / 1715 EJ SPANBROEK / NL;+31 226351426;info@rijkhoff.nl;www.rijkhoff.nl;494.194.150.000.000;5.270.064.150.000.000;300049361;1;1;1
Rob Balk B.V. Loodgietersbedrijf;Trechtweg 10A / 3945 PL COTHEN / NL;+31 343563089;#;https://www.robbalk.nl/;529.582.210.000.000;5.198.788.730.000.000;11041738;1;1;1
Romijnders Service B.V.;Vijverlaan 9 / 6602 CX WYCHEN / NL;+31 246488222;info@romijnders.nl;www.romijnders.nl;574.190.540.000.000;5.181.234.840.000.000;11006517;1;1;1
Roseboom Installatietechniek;Faradaystraat 12 / 6718 XT EDE / NL;+31 318527725;info@roseboom.nl;www.roseboom.nl;560.657.340.000.000;5.203.248.200.000.000;11137920;1;1;1
Rutgers Installatiebureau;Zuiderdracht 1A / 1696 AK OOSTERBLOKKER / NL;+31 229261668;info@rutgers-bv.nl;www.rutgers-bv.nl;510.819.040.000.000;5.266.144.920.000.000;11045572;1;1;1
S. Smit Duurzame;Beltstraat 21-25 / 1777 HA HIPPOLYTUSHOEF / NL;+31 227591316;#;www.ssmit.nl;495.691.870.000.000;5.290.531.620.000.000;11044269;1;1;1
SB Installatietechniek;De Meer 15C / 8321 MT Urk / NL;+31 527-690042;#;www.sbinstallatietechniek.nl;563.527.000.000.000;5.265.435.000.000.000;11142375;1;1;1
Schimmel Techniek;Anthonie Fokkerstraat 23 / 3772 MP BARNEVELD / NL;+31 342729239;#;www.schimmel-tdi.nl;560.192.970.000.000;5.213.573.330.000.000;300049950;1;1;1
Schouten Hazerswoude B.V.;Belgiëlaan 1a / 2391 PH HAZERSWOUDE DORP / NL;+31 172589124;#;www.schoutenhazerswoude.nl;458.807.070.000.000;5.209.658.580.000.000;11031028;1;1;1
Schreuder Installatietechniek BV;Curieweg 7 / 8013 RA ZWOLLE / NL;+31 384656474;info@schreuderbv.nl;www.schreuderbv.nl;612.999.300.000.000;5.249.845.590.000.000;300050408;1;1;1
Schulte & Lestraden B.V.;Heereweg 23 / 2161 AC LISSE / NL;+31 252466466;#;#;456.089.950.000.000;5.226.926.120.000.000;10063011;1;1;1
Schuttevaar Installatietechniek;De Matestraat 22 / 7447 BB HELLENDOORN / NL;+31 548546084;info@schuttevaar-installatietechniek.nl;www.schuttevaar-installatietechniek.nl;645.426.550.000.000;5.239.247.410.000.000;11136976;1;1;1
Siebert Installatie-;Katoenstraat 24 / 8281 JZ GENEMUIDEN / NL;+31 (38) 385 57 29;info@siebert-install.nl;www.siebert-install.nl;606.439.270.000.000;5.261.502.980.000.000;300047010;1;1;1
Sikma Installatiebedrijf B.V.;Edisonstraat 15 / 8606 JH SNEEK / NL;+31 51541 44 18;#;Www.sikma.nl;569.086.250.000.000;5.302.011.100.000.000;300047326;1;1;1
Slor Installaties;Koningsweg 1 / 9731 AM Groningen / NL;+31 6-24679042;info@slorinstallaties.nl;www.slorinstallaties.nl;660.188.000.000.000;5.322.562.000.000.000;300067862;1;1;1
Smit installatie en daktechniek;Achtseweg Noord 12A / 5651 GG EINDHOVEN / NL;+31 407114300;#;https://smit-idt.nl/;541.688.020.000.000;5.147.390.590.000.000;300047054;;1;
Sommers Installatietechniek;Stevensbeekseweg 1 / 5845 ER ST ANTHONIS / NL;+31 485382344;#;#;589.702.050.000.000;5.162.205.530.000.000;11025802;1;1;1
Stienezen Wanders bv;Nijverheidsweg 6 / 7031 BV WEHL / NL;+31 314684051;info@stienezenwanders.nl;www.stienezenwanders.nl;621.756.640.000.000;5.195.822.300.000.000;300047948;1;1;
TIS - Stiens;Seerob 29 / 9051 VA STIENS / NL;+31 852084160;info@tis-stiens.nl;www.tis-stiens.nl;574.721.830.000.000;5.326.768.170.000.000;11035490;1;1;1
Techn. Install. Buro;Brugstraat 1 / 7687 BD DAARLERVEEN / NL;+31 546643000;info@huisman-groep.nl;www.huisman-groep.nl;657.860.350.000.000;5.244.271.020.000.000;10063359;1;1;1
Topma Installatiebedrijf;Eindhovenstraat 4 / 1821 BV ALKMAAR / NL;+31 (72) 520 22 47;mail@topma.nl;#;477.115.190.000.000;5.262.447.110.000.000;300042543;;1;
Totaal-techniek Vrielink;Weitemansweg 61 / 7608 RG ALMELO / NL;+31 651662029;info@totaal-techniek.nl;www.totaal-techniek.nl;668.797.960.000.000;5.238.868.050.000.000;300057520;1;1;1
Totec Installatietechniek;De Meer 11 / 8321 LX URK / NL;+31 527 748444;info@totec.nl;www.totec.nl;563.551.460.000.000;5.265.517.410.000.000;300042771;1;1;1
United installaties;Productieweg 5 / 8061 RK Hasselt / NL;+31 85620400-6204200;contact@unitedinstallaties.nl;www.unitedinstallaties.nl/;608.825.000.000.000;5.258.582.000.000.000;300074545;;1;
VSN Ventilatie Service Nederland;Transistorstraat 58D / 1322 CG ALMERE / NL;+31 885360536;info@ventilatieservicenederland.nl;www.ventilatieservicenederland.nl;517.734.620.000.000;5.234.599.460.000.000;11036037;1;1;1
Van Alphen & Roest B.V.;Thijssenweg 20 / 4927 PC Hooge Zwaluwe / NL;+31 (76) 593 12 53;#;#;474.480.000.000.000;5.166.903.000.000.000;300042874;1;1;1
Van Dijk Made BV;Brieltjenspolder 3 / 4921 PK MADE / NL;+31 162682671;#;https://www.vandijkmade.nl/;481.032.330.000.000;5.167.384.260.000.000;10063501;1;1;1
Van Dorp Installaties Lelystad;Noordersluisweg 2 / 8243 PR LELYSTAD / NL;+31 (320) 222599;infolelystad@vandorp.eu;www.vandorp.eu;544.261.270.000.000;5.250.537.130.000.000;300054651;1;1;1
Van Gemert;Oploseweg 12b / 5825 HN OVERLOON / NL;+31 478507171;#;#;593.637.620.000.000;5.157.087.100.000.000;10063382;1;1;1
Van Gerven Installatie B.V.;Fransebaan 9 / 5091 JN Oost West En Middelbeers / NL;+31 6-22545877;info@vangerveninstallatie.nl;www.vangerveninstallatie.nl;528.127.500.000.000;5.149.454.500.000.000;300048407;1;1;1
Van Heugten Installatie;Dieze 8 / 5422 VS GEMERT / NL;+31 492365632;#;#;570.754.990.000.000;5.156.512.730.000.000;10063298;1;1;1
Van Linde Installatiebedrijf;Van Harinxmaweg 13 / 9244 CJ BEETSTERZWAAG / NL;+31 512 382632;info@vanlindeinstallatie.nl;www.vanlindeinstallatie.nl;609.478.120.000.000;5.306.169.740.000.000;300050063;1;1;1
Van Riesen Installatietechniek BV;Ceintuurbaan Noord 123 / 9301 NT RODEN / NL;+31 50 727 1020;info@vanriesen-installatietechniek.nl;www.vanriesen-installatietechniek.nl;643.567.790.000.000;5.314.513.880.000.000;300049783;1;1;1
Van Rijn Installatie B.V.;Noordpolderstraat 2 / 4571 LR Axel / NL;+31 115-561717;info@vanrijninstallatie.nl;www.vanrijninstallatie.nl;391.058.000.000.000;5.127.151.000.000.000;300059899;1;1;
Van Seggeren Installatie-;Edisonstraat 3 / 9285 WE BUITENPOST / NL;+31 511444847;info@vstechniek.nl;www.vstechniek.nl;606.803.960.000.000;5.326.072.140.000.000;10063397;1;1;1
Van Veldhuisen Techniek;Breedsendijk 2A / 4401 BD YERSEKE / NL;+31 113571914;#;www.vanveldhuisentechniek.nl;403.902.240.000.000;5.150.400.720.000.000;11046271;;1;
Van Velthoven & Kruijssen BV;Sonman 19 / 5066 GJ MOERGESTEL / NL;+31 135131284;#;#;517.580.770.000.000;5.153.741.540.000.000;11027689;1;1;
Van Vilsteren Inst.techniek BV;Boerendanserdijk 41 / 8024 AE ZWOLLE / NL;+31 (38) 4216502;info@vilsteren.nl;www.vilsteren.nl;612.074.570.000.000;5.251.991.110.000.000;300049961;1;1;1
Van Wijngaarden BV;Pr. Marijkestraat 10 / 2404 BC ALPHEN AAN DEN RYN / NL;+31 172493544;#;www.wijngaarden-bv.nl;465.499.070.000.000;5.213.539.150.000.000;300047418;1;1;
Van de Ven - Hollanders;Kapelstraat 19 / 5741 CB BEEK EN DONK / NL;+31 492464343;#;#;562.789.430.000.000;5.154.046.500.000.000;11046332;1;1;1
Van den Berg Installateurs BV;Faradaystraat 2 / 6718 XT EDE / NL;+31 318614776;#;#;565.047.040.000.000;5.202.991.710.000.000;10063423;1;1;
Van den Buijs Installaties;Rithmeesterpark 15 / 4838 GZ BREDA / NL;+31 76 597 22 29;#;www.vandenbuijs.nl;473.241.690.000.000;5.156.909.390.000.000;300044207;1;1;
Van den Hoff Installatiebedrijf BV;Van Kanstraat 3 / 5652 GA EINDHOVEN / NL;+31 402517626;#;#;544.693.160.000.000;5.143.959.360.000.000;11135766;1;1;
Van der Velden Installaties;Ambachtsweg 12 / 5683 DE BEST / NL;+31 499-490092;info@vanderveldeninstallaties.nl;https://vanderveldeninstallaties.nl/;540.344.520.000.000;5.150.157.770.000.000;300044097;;1;
Van der Weerd Installatietechniek;James Wattstraat 2 / 8801 PK FRANEKER / NL;+31 517 39 32 31;info@vanderweerd.net;www.vanderweerd.net;552.753.660.000.000;5.318.286.460.000.000;300045771;1;1;1
Velgsib Installatietechniek;Steenhouwer 6 / 9502 ET STADSKANAAL / NL;+31 599612178;info@velgsib.nl;www.velgsib.nl;697.548.820.000.000;5.297.752.890.000.000;300056275;1;1;1
Vennegoor Installatie;Gunnerstraat 19 / 7595 KD WEERSELO / NL;+31 541661889;info@vennegoorweerselo.nl;www.vennegoorweerselo.nl;685.399.690.000.000;5.234.842.910.000.000;300053873;1;1;1
VentilatieNL;Zuideinde 47 / 1121 CK LANDSMEER / NL;+31 857920792;service@ventilatienl.nl;www.ventilatienl.nl;491.043.660.000.000;5.242.445.580.000.000;11046369;1;1;1
Ventilatieservice Noord Nederland;Uiterburen 60 / 9636 EG ZUIDBROEK / NL;+31 598-453633;#;www.vsnn.nl;687.621.180.000.000;5.317.537.630.000.000;11026912;1;1;1
Verhees & Van Dijk;Industrieweg 7 / 5753 PB DEURNE / NL;+31 493341634;#;https://www.verheesenvandijk.nl/;579.827.890.000.000;5.144.859.200.000.000;11138126;1;1;
Vroling B.V.;Driebanweg 10 / 1607 NL HEM / NL;+31 228541451;#;#;518.830.430.000.000;5.265.654.850.000.000;11044359;1;1;1
WSI Techniek;Batterij 3 / 7141 JL GROENLO / NL;+31 544375989;info@wsi-techniek.nl;www.wsi-techniek.nl;662.621.800.000.000;5.205.947.100.000.000;10063224;1;1;1
Wassink Installatie;Fabriekstraat 39-03 / 7005 AP DOETINCHEM / NL;+31 314345868;info@wassink.nl;www.wassink.nl;629.319.900.000.000;5.195.348.470.000.000;11038831;1;1;1
;Snelliusstraat 11 / 7102 ED WINTERSWYK / NL;+31 543517925;info@wassink.nl;www.wassink.nl;670.906.310.000.000;5.195.964.800.000.000;10063042;1;1;1
Wesley Keeris Installatietechniek;De Hooge Akker 15 / 5661 NG GELDROP / NL;+31 402855443;info@wkinstallatie.nl;#;553.842.300.000.000;5.142.782.540.000.000;300043323;1;1;
Wilms Den Helder bv;Ravelijncenter 39 / 1785 LX DEN HELDER / NL;+31 223630900;info@wilms.nl;www.wilms.nl;477.576.890.000.000;5.294.314.150.000.000;10063206;1;1;1
Winters Installaties BV;Simon Vestdijkwei 16 / 8914 AX LEEUWARDEN / NL;+31 (58) 215 40 55;info@winters-installaties.nl;www.winters-installaties.nl;576.157.690.000.000;5.320.218.640.000.000;300054762;1;1;1
Woolderink Technische;Bedrijvenstraat 11 / 7641 AM WIERDEN / NL;+31 546571680;info@woolderink.nl;www.woolderink.nl;658.359.690.000.000;5.236.190.840.000.000;10063079;1;1;
